 001 Giovanni Ballarin                        Logit model

 Logit[prob(Y(i)=1)] = b1*UNO(i) + b2*EDU(i) + b3*WAIT(i) + b4*SPNSR(i) 

         Y      1       EDU     WAIT    SPNSR 
    1    0.     1.0     1.0     8.0  -0.736072071285318
    2    1.     1.0     2.0     5.0   0.396914342224885
    3    1.     1.0     4.0     3.0   1.145589102963721
    4    0.     1.0     3.0     4.0   1.107081795109205
    5    0.     1.0     3.0     3.0  -0.360659087152362
    6    1.     1.0     4.0     4.0   0.329685492123958
    7    0.     1.0     0.0     4.0   0.080969978915930
    8    0.     1.0     0.0     2.0  -0.705199321511834
    9    1.     1.0     1.0     2.0  -1.079599537479198
   10    0.     1.0     2.0     3.0   1.088397360862688
   11    1.     1.0     4.0     4.0   0.598349550135878
   12    1.     1.0     3.0     2.0   0.186580465675480
   13    1.     1.0     3.0     2.0   0.186580465675480
   14    1.     1.0     3.0     6.0   1.355922979513125
   15    1.     1.0     5.0     3.0  -0.437799374057290
   16    0.     1.0     4.0     3.0  -0.869391332125688
   17    1.     1.0     3.0     6.0   1.221590950507164
   18    1.     1.0     0.0     3.0   0.628209531743773
   19    0.     1.0     1.0     3.0  -1.358175032295120
   20    0.     1.0     0.0     3.0   0.628209531743773
   21    1.     1.0     3.0     6.0   1.221590950507164
   22    0.     1.0     4.0     3.0  -0.869391332125688
   23    1.     1.0     5.0     3.0  -0.437799374057290
   24    1.     1.0     3.0     6.0   1.355922979513125
   25    0.     1.0     3.0     2.0   0.186580465675480
   26    0.     1.0     3.0     2.0   0.186580465675480
   27    0.     1.0     4.0     4.0   0.598349550135878
   28    1.     1.0     2.0     3.0   1.088397360862688
   29    0.     1.0     1.0     2.0  -1.079599537479198
   30    0.     1.0     0.0     2.0  -0.705199321511834
   31    0.     1.0     0.0     4.0   0.080969978915930
   32    1.     1.0     4.0     4.0   0.329685492123958
   33    0.     1.0     3.0     3.0  -0.360659087152362
   34    1.     1.0     3.0     4.0   1.107081795109205
   35    1.     1.0     4.0     3.0   1.145589102963721
   36    0.     1.0     2.0     5.0   0.396914342224885
   37    0.     1.0     1.0     8.0  -0.736072071285318
   38    1.     1.0     0.0     7.0   1.663220016575457
   39    1.     1.0     1.0     8.0  -0.736072071285318
   40    0.     1.0     2.0     5.0   0.396914342224885
   41    1.     1.0     4.0     3.0   1.145589102963721
   42    1.     1.0     3.0     4.0   1.107081795109205
   43    1.     1.0     3.0     3.0  -0.360659087152362
   44    1.     1.0     4.0     4.0   0.329685492123958
   45    1.     1.0     0.0     4.0   0.080969978915930
   46    0.     1.0     0.0     2.0  -0.705199321511834
   47    1.     1.0     1.0     2.0  -1.079599537479198
   48    0.     1.0     2.0     3.0   1.088397360862688
   49    0.     1.0     4.0     4.0   0.598349550135878
   50    1.     1.0     3.0     2.0   0.186580465675480
   51    1.     1.0     3.0     2.0   0.186580465675480
   52    1.     1.0     3.0     6.0   1.355922979513125
   53    1.     1.0     5.0     3.0  -0.437799374057290
   54    1.     1.0     4.0     3.0  -0.869391332125688
   55    1.     1.0     3.0     6.0   1.221590950507164
   56    0.     1.0     0.0     3.0   0.628209531743773
   57    0.     1.0     1.0     3.0  -1.358175032295120
   58    0.     1.0     0.0     3.0   0.628209531743773
   59    1.     1.0     3.0     6.0   1.221590950507164
   60    0.     1.0     4.0     3.0  -0.869391332125688
   61    0.     1.0     5.0     3.0  -0.437799374057290
   62    1.     1.0     3.0     6.0   1.355922979513125
   63    1.     1.0     3.0     2.0   0.186580465675480
   64    0.     1.0     3.0     2.0   0.186580465675480
   65    0.     1.0     4.0     4.0   0.598349550135878
   66    0.     1.0     2.0     3.0   1.088397360862688
   67    0.     1.0     1.0     2.0  -1.079599537479198
